Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
上學,shang4 xue2,ㄕㄤˋ ㄒㄩㄝˊ,go to school,go to school
上課,shang4ke4,ㄕㄤˋㄎㄜˋ,Attend class,attend class; give a lesson; go to class
下課,xia4 ke4,ㄒㄧㄚˋ ㄎㄜˋ,Class,to finish class
作業,zuo4ye4,ㄗㄨㄛˋㄧㄝˋ,Operation,school assignment; homework; task
功課,gong1ke4,ㄍㄨㄥˉㄎㄜˋ,homework,homework; schoolwork
請假,qing3 jia4,ㄑㄧㄥˇ ㄐㄧㄚˋ,Ask for leave,ask for time off
考試,kao3shi4,ㄎㄠˇㄕˋ,take an exam,test; exam; give or take a test
圖書館,tu2shu1guan3,ㄊㄨˊㄕㄨˉㄍㄨㄢˇ,library,library
教室,jiao4shi4,ㄐㄧㄠˋㄕˋ,classroom,classroom
洗手間,xi3shou3jian1,ㄒㄧˇㄕㄡˇㄐㄧㄢˉ,Toilet,toilet; lavatory; washroom; restroom
廁所,ce4suo3,ㄘㄜˋㄙㄨㄛˇ,bathroom,toilet; lavatory; bathroom (colloquial)
餐廳,can1ting1,ㄘㄢˉㄊㄧㄥˉ,Dining room,dining hall; cafeteria; restaurant
飯館,fan4guan3,ㄈㄢˋㄍㄨㄢˇ,restaurant,restaurant
曆史,li4shi3,ㄌㄧˋㄕˇ,history,history
數學,shu4xue2,ㄕㄨˋㄒㄩㄝˊ,math,mathematics; maths
語言,yu3yan2,ㄩˇㄧㄢˊ,language,language
科學,ke1xue2,ㄎㄜˉㄒㄩㄝˊ,science,science; scientific knowledge
英文,Ying1wen2,Yingˉㄨㄣˊ,English,English (language)
華語,hua2yu3,ㄏㄨㄚˊㄩˇ,Chinese,Chinese (language)
華文,hua2wen2,ㄏㄨㄚˊㄨㄣˊ,Chinese,Chinese (language)
黑板,hei1ban3,ㄏㄟˉㄅㄢˇ,blackboard,blackboard
筆,bi3,ㄅㄧˇ,Pen,pen; pencil; writing instrument; brush stroke; (mw for sums of money)
紙,zhi3,ㄓˇ,Paper,paper
課本,ke4ben3,ㄎㄜˋㄅㄣˇ,textbook,textbook
本,ben3,ㄅㄣˇ,Book,(mw for books); root or stem of plants; origin; this
字,zi4,ㄗˋ,Character,word; letter; character
句子,ju4zi5,ㄐㄩˋㄗ˙,sentence,sentence
注意,zhu4yi4,ㄓㄨˋㄧˋ,Notice,pay attention to; take notice of; be careful
寫,xie3,ㄒㄧㄝˇ,Write,write; compose
聽,ting1,ㄊㄧㄥˉ,listen,listen; hear; heed
讀,du2,ㄉㄨˊ,read,to read; to study comma; phrase marked by pause
讀書,du2 shu1,ㄉㄨˊ ㄕㄨˉ,read,to study; read; attend school
說,shuo1,ㄕㄨㄛˉ,Say,speak; to say; to talk
說話,shuo1hua4,ㄕㄨㄛˉㄏㄨㄚˋ,say,to talk; speak
學,xue2,ㄒㄩㄝˊ,study,to study; learn; science; -ology
學習,xue2xi2,ㄒㄩㄝˊㄒㄧˊ,study,to learn; to study
練習,lian4xi2,ㄌㄧㄢˋㄒㄧˊ,practise,practice; exercise
問,wen4,ㄨㄣˋ,ask,ask; inquire
問題,wen4ti2,ㄨㄣˋㄊㄧˊ,question,question; problem; issue
為什麼,wei4shen2me5,ㄨㄟˋㄕㄣˊㄇㄜ˙,why,why
回答,hui2da2,ㄏㄨㄟˊㄉㄚˊ,Reply,reply; answer
參加,can1jia1,ㄘㄢˉㄐㄧㄚˉ,join,participate; join (a group); take part in (an activity); give (advice)
知道,zhi1dao5,ㄓˉㄉㄠ˙,Know,know; be aware of
懂,dong3,ㄉㄨㄥˇ,Understand,understand; know
能,neng2,ㄋㄥˊ,can,can; be able; capable; energy; ability
會,hui4,ㄏㄨㄟˋ,meeting,can; to know how; be good at; be likely to; shall; meeting; conference accounts
可以,ke3yi3,ㄎㄜˇㄧˇ,Can,can; may; possible; okay
休息,xiu1xi5,ㄒㄧㄡˉㄒㄧ˙,rest,to rest; take a break
有趣,you3qu4,ㄧㄡˇㄑㄩˋ,interesting,interesting; fascinating; amusing
決定,jue2ding4,ㄐㄩㄝˊㄉㄧㄥˋ,Decide,decide; decision
健康,jian4kang1,ㄐㄧㄢˋㄎㄤˉ,healthy,health; healthy
感冒,gan3mao4,ㄍㄢˇㄇㄠˋ,cold,catch cold; (common) cold
